File	GenProg Repair Status without PREP	GenProg Repair Status with PREP	Category
temp-259-A-bug-6888090-6888096	Repair Found	Repair Found	1
temp-259-A-bug-7144210-7144263	Repair Found	Repair Found	1
temp-259-B-bug-9707196-9707203	Repair Found	Repair Found	1
temp-25-A-bug-17186157-17186180	Repair Found	Repair Found	1
temp-25-A-bug-17517735-17517783	Repair Found	Repair Found	1
temp-25-A-bug-17517753-17517783	Repair Found	Repair Found	1
temp-25-A-bug-18151193-18151206	Repair Found	Repair Found	1
temp-25-A-bug-18256663-18256701	Repair Found	Repair Found	1
temp-260-B-bug-2848106-2848120	Repair Found	Repair Found	1
temp-260-B-bug-2879078-2879086	Repair Found	Repair Found	1
temp-260-B-bug-4197525-4197546	Repair Found	Repair Found	1
temp-260-C-bug-10856620-10856633	Repair Found	Repair Found	1
temp-260-D-bug-2845983-2845988	Repair Found	Repair Found	1
temp-262-B-bug-4170973-4170993	Repair Found	Repair Found	1
temp-262-B-bug-5863526-5863664	Repair Found	Repair Found	1
temp-262-B-bug-5863653-5863664	Repair Found	Repair Found	1
temp-263-A-bug-18117839-18117954	Repair Found	Repair Found	1
temp-263-D-bug-11725497-11725558	Repair Found	Repair Found	1
temp-263-D-bug-11725551-11725558	Repair Found	Repair Found	1
temp-266-A-bug-17966679-17966700	Repair Found	Repair Found	1
temp-266-A-bug-17966693-17966700	Repair Found	Repair Found	1
temp-266-A-bug-18153802-18153883	Repair Found	Repair Found	1
temp-266-B-bug-17461208-17461221	Repair Found	Repair Found	1
temp-266-B-bug-18175541-18175550	Repair Found	Repair Found	1
temp-26-A-bug-17016643-17016759	Repair Found	Repair Found	1
temp-26-B-bug-116705-116706	Repair Found	Repair Found	1
temp-271-A-bug-17597303-17597361	Repair Found	Repair Found	1
temp-271-A-bug-17597337-17597361	Repair Found	Repair Found	1
temp-271-A-bug-17879735-17879832	Repair Found	Repair Found	1
temp-271-A-bug-18031969-18031990	Repair Found	Repair Found	1
temp-271-A-bug-18178942-18178961	Repair Found	Repair Found	1
temp-271-A-bug-18358749-18358771	Repair Found	Repair Found	1
temp-272-A-bug-13334881-13334907	Repair Found	Repair Found	1
temp-272-A-bug-6481037-6481044	Repair Found	Repair Not Found	3
temp-272-A-bug-9140479-9140575	Repair Found	Repair Found	1
temp-272-C-bug-8396359-8396369	Repair Found	Repair Found	1
temp-276-A-bug-17610276-17610323	Repair Found	Repair Found	1
temp-276-A-bug-17610299-17610323	Repair Found	Repair Found	1
temp-276-B-bug-13314488-13314500	Repair Found	Repair Found	1
temp-276-B-bug-14833281-14833300	Repair Found	Repair Found	1
temp-276-B-bug-15034096-15034124	Repair Found	Repair Found	1
temp-276-B-bug-4820773-4820788	Repair Found	Repair Found	1
temp-276-B-bug-6188908-6188949	Repair Found	Repair Found	1
temp-278-A-bug-11079686-11079707	Repair Found	Repair Found	1
